pais,producto,_id,anio_aprobacion,fondo,modalidad,monto_bruto_usd,cantidad,origen
Honduras,Cooperación Técnica,222,2021,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,238980.0,6,cooperacion
Guatemala,Cooperación Técnica,223,2023,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,650000.0,1,cooperacion
Costa Rica,Cooperación Técnica,224,2023,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,200000.0,2,cooperacion
Honduras,Cooperación Técnica,225,2021,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,7382734.79,3,cooperacion
Guatemala,Ayuda de Emergencia y por Desastres Naturales,226,2024,Fondos Ordinarios,No Reembolsable,1178848.0,3,cooperacion
Costa Rica,Cooperación Técnica,227,2023,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,1,cooperacion
Honduras,Cooperación Técnica,228,2021,KTF,No Reembolsable,225000.0,2,cooperacion
Guatemala,Cooperación Técnica,229,2025,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,152250.0,2,cooperacion
Costa Rica,Cooperación Técnica,230,2023,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1540000.0,2,cooperacion
Honduras,Ayuda de Emergencia y por Desastres Naturales,231,2022,Fondos Ordinarios,No Reembolsable,1000000.0,2,cooperacion
Costa Rica,Otras Cooperaciones Financieras,232,2023,Fondos Ordinarios,No Reembolsable,1050000.0,1,cooperacion
Honduras,Cooperación Técnica,233,2022,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,335000.0,2,cooperacion
Costa Rica,Ayuda de Emergencia y por Desastres Naturales,234,2024,Fondos Ordinarios,No Reembolsable,500000.0,1,cooperacion
Honduras,Cooperación Técnica,235,2022,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,250164.95,5,cooperacion
Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,236,2024,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Honduras,Cooperación Técnica,237,2022,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,357500.0,1,cooperacion
Costa Rica,Cooperación Técnica,238,2024,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99445.5,1,cooperacion
Honduras,Cooperación Técnica,239,2022,KTF,No Reembolsable,850000.0,1,cooperacion
Costa Rica,Cooperación Técnica,240,2024,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,5940000.0,1,cooperacion
Honduras,Cooperación Técnica,241,2022,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,550000.0,1,cooperacion
Costa Rica,Iniciativa PRODES,242,2024,Fondos Ordinarios,No Reembolsable,725000.0,1,cooperacion
Honduras,Ayuda de Emergencia y por Desastres Naturales,243,2023,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Costa Rica,Cooperación Técnica,244,2025,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,700000.0,1,cooperacion
Honduras,Cooperación Técnica,245,2023,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1804500.0,6,cooperacion
Honduras,Cooperación Técnica,246,2023,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,52500.0,1,cooperacion
Honduras,Cooperación Técnica,247,2023,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,7483208.71,5,cooperacion
Honduras,Ayuda de Emergencia y por Desastres Naturales,248,2024,Fondos Ordinarios,No Reembolsable,750000.0,2,cooperacion
Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,249,2024,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Honduras,Cooperación Técnica,250,2024,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,214200.0,4,cooperacion
Honduras,Iniciativa PRODES,251,2024,Fondos Ordinarios,No Reembolsable,725000.0,1,cooperacion
Honduras,Cooperación Técnica,252,2025,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,436800.0,7,cooperacion
Nicaragua,Cooperación Técnica,253,2010,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,264600.0,1,cooperacion
Nicaragua,Cooperación Técnica,254,2010,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,500000.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,255,2011,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación de Países Fundadores y Regionales no Fundadores,256,2011,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Nicaragua,Cooperación Técnica,257,2011,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,264600.0,1,cooperacion
Nicaragua,Cooperación Técnica,258,2011,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,3757728.0,5,cooperacion
Nicaragua,Cooperación Técnica,259,2012,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2644901.89,2,cooperacion
Nicaragua,Otras Cooperaciones Financieras,260,2012,Fondos Ordinarios,No Reembolsable,230360.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,261,2013,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación Técnica,262,2013,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,192294.07,1,cooperacion
Nicaragua,Cooperación Técnica,263,2013,FSC Taiwan ICDF,No Reembolsable,1000000.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,264,2014,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación Técnica,265,2014,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,39600.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,266,2015,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación de Países Fundadores y Regionales no Fundadores,267,2015,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Nicaragua,Cooperación Técnica,268,2015,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,350000.0,2,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,269,2016,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación Técnica,270,2016,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,283250.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,271,2017,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación Técnica,272,2017,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1408900.5,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,273,2018,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Nicaragua,Cooperación Técnica,274,2018,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1995000.0,1,cooperacion
Nicaragua,Cooperación Técnica,275,2019,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,283250.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,276,2020,Fondos Ordinarios,No Reembolsable,2000000.0,3,cooperacion
Nicaragua,Cooperación Técnica,277,2020,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,36225.0,1,cooperacion
Nicaragua,Cooperación Técnica,278,2020,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,707598.0,2,cooperacion
Nicaragua,Cooperación Técnica,279,2020,KTF,No Reembolsable,450000.0,2,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,280,2021,Fondos Ordinarios,No Reembolsable,500000.0,1,cooperacion
Nicaragua,Cooperación Técnica,281,2021,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1227119.25,1,cooperacion
Nicaragua,Cooperación Técnica,282,2021,FVC - Fondo Verde para el Clima,No Reembolsable,749584.0,1,cooperacion
Nicaragua,Cooperación Técnica,283,2021,KTF,No Reembolsable,125000.0,1,cooperacion
Nicaragua,Ayuda de Emergencia y por Desastres Naturales,284,2022,Fondos Ordinarios,No Reembolsable,500000.0,1,cooperacion
Nicaragua,Cooperación Técnica,285,2022,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,93500.0,1,cooperacion
Nicaragua,Cooperación Técnica,286,2022,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,81900.0,2,cooperacion
Nicaragua,Cooperación Técnica,287,2023,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,244072.5,5,cooperacion
Nicaragua,Cooperación Técnica,288,2023,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,810579.0,1,cooperacion
Nicaragua,Cooperación Técnica,289,2023,FVC - Fondo Verde para el Clima,No Reembolsable,748282.0,1,cooperacion
Nicaragua,Cooperación Técnica,290,2024,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,880000.0,1,cooperacion
